food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Drinking chocolate (cocoa), powder",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,2260,541,1,4.4,30.9,60.4,2,1.4,60,2,98,128,591,120,1.55,3,61,62,60,9,0.03,0.15,0.5,6,6,0,1
Enriched Mandazi,Purchased Deep-Fried Foods,Others,Others,No PHDI Assignment,Deep-Fried Foods,No Species Assignment,1,1590,379,23.5,7.6,16.1,49.9,2.2,0.8,45,3.3,21,134,105,80,0.66,2,90,92,88,24,0.47,0.36,3,236,21,0.57,0.7
"Honey, raw",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,1370,322,19.2,0.4,0,80.1,0,0.3,11,0.6,3,4,74,17,3,0,0,0,0,0,0,0,0,0,0,0,0
"Juice, commercial (Afia), apple",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,53,0,0.1,0,13.3,0.1,0,2,0.5,5,7,90,2,0.2,0,0,4,0,0,0,0,0.1,2,0,0,8
"Juice, commercial (Afia), Mango (Embe)",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,54,0,0.7,0.1,22.6,0,0,4,0,4,5,66,1,0,0,168,0,0,0,0,0,0.3,6,0,0,15
"Juice, commercial (Afia), mixed",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,45,0,0.7,2.2,6.6,1.9,0,16.6,0.2,10.4,11.2,190.1,1.9,0.1,0,0,29.1,0,0,0,0,0.5,23.4,0,0,26.1
"Juice, commercial (Afia), Tropical",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,49,0,0.4,0.4,12.4,1.2,0,7,0,14,7,113,1,0.1,0,2,0,0,0,0.1,0,0.4,11,0,0,15
"Juice, commercial (Minute Maid)",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,54,0,0.7,0.1,22.6,0,0,4,0,4,5,66,1,0,0,168,0,0,0,0,0,0.3,6,0,0,15
"Juice, commercial (Quencher), Orange (chungwa)",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,158,0,0.5,1.1,41,0,0,19,0.5,13,19,308,0.5,0,0,0,13,0,0,0.1,0,0.3,8,0,0,16
Kaimati (Fried Dumplings),Purchased Deep-Fried Foods,Others,Others,No PHDI Assignment,Deep-Fried Foods,No Species Assignment,1,1795,429,18.8,4.6,21.8,52.8,1.6,0.4,17,2.1,16,93,81,4,0.45,0,30,30,30,1,0.33,0.25,2,209,76,0.25,0
Meat Samosa,Red Meat;Purchased Deep-Fried Foods,Others,Others,Red Meat,Unprocessed Red Meat,No Species Assignment,1,1854,443,13.9,18.8,22.2,40.5,3.1,1.6,51,11.5,37,288,302,175,2.99,13,66,85,48,223,0.47,0.42,5.1,222,32,1.19,7.4
"Soda (Coke, Sprite, Fanta, etc)",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,1,0,37,0,0,0,9.6,0,0,3,0,1,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
